"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01191997528076","0.99266","0.99949","0.989","0.97706","0.95291","0.96339","0.96798","0.98676","1.00561","1.00444","1.0146","1.00871","1.02156","","","","","","","",
"Afghanistan","AFG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.167199999094009","0.161200001835823","0.160840004682541","0.168740004301071","0.16695000231266","0.173899993300438","0.180629998445511","0.192279994487762","0.198829993605614","","","0.242229998111725","0.483579993247986","","0.469949990510941","0.476029992103577","0.530939996242523","","0.499659985303879","","","0.537060022354126","","0.361770004034042","0.432000011205673","0.474040001630783","","","","","","0","","0.54426","0.40582","0.54769","0.57323","0.5672","0.58602","0.60961","0.62581","0.66345","0.66925","0.65533","0.65402","0.64754","","0.64621","","",
"Angola","AGO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.640190005302429","0.656719982624054","","","","","","","","","","0.826059997081757","0.787509977817535","","","","","","","","","","","","","","","0.819149971008301","","","","","","","","","","0.83309","0.8234","0.77763","0.63032","","","","","","","","",
"Albania","ALB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.922879993915558","","0.924769997596741","0.929279983043671","0.919539988040924","0.915809988975525","0.927450001239777","0.953499972820282","0.945689976215363","0.935949981212616","0.936429977416992","0.940090000629425","0.954760015010834","0.954240024089813","0.946529984474182","0.949710011482239","1.01279997825623","1.04384994506836","1.00525999069214","0.981710016727448","0.986419975757599","0.969780027866364","","0.968180000782013","0.97621","0.98732","","","0.9802","0.97804","0.98504","0.99687","0.99979","1.01781","1.00569","1.00029","0.9901","0.98159","0.97668","0.98242","0.99355","1.00432","1.0173","",
"Andorra","AND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14892995357513","","","","","","","","1.02505004405975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.618920028209686","0.617470026016235","0.623520016670227","0.63085001707077","0.638050019741058","0.642700016498566","0.65149998664856","0.66237998008728","0.671169996261597","0.691779971122742","0.703329980373383","0.715489983558655","0.7255499958992","0.733430027961731","0.740559995174408","0.749610006809235","0.758300006389618","0.767709970474243","0.771229982376099","0.782559990882874","0.793070018291473","0.799600005149841","0.813440024852753","0.821080029010773","0.824169993400574","0.837750017642975","0.822809994220734","0.846029996871948","0.857179999351501","0.868420004844666","0.877290010452271","0.886300027370453","0.895259976387024","0.903349995613098","0.90693998336792","0.913670003414154","0.917309999465942","0.920419991016388","0.923160016536713","0.924130022525787","0.92543","0.92372","0.92969","0.93009","0.93132","0.93496","0.93578","0.93879","0.94112","",
"United Arab Emirates","ARE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.828800022602081","0.926050007343292","0.933759987354279","0.943620026111603","1.01362001895905","1.04809999465942","1.02908003330231","0.991550028324127","0.948769986629486","0.966000020503998","0.958289980888367","0.947870016098022","0.947380006313324","0.963689982891083","1.0040500164032","1.02540004253387","1.03708004951477","1.04027998447418","1.03668999671936","1.03692996501923","1.03583002090454","1.01996004581451","1.00590002536774","","1.03269994258881","1.04685997962952","","","","","","","","","","","","","","","","","","0.96095","0.95133","","",
"Argentina","ARG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03383004665375","1.02473998069763","1.01195001602173","1.01377999782562","1.00782001018524","1.01061999797821","1.01223003864288","1.01851999759674","1.03182995319366","1.02099001407623","1.02439999580383","1.02277994155884","1.00916004180908","","1.01194000244141","1.02104997634888","1.00700998306274","1.0077600479126","1.04745995998383","","","","","","","","1.01927995681763","1.0210599899292","1.00899004936218","1.02296996116638","1.01587","1.01779","1.0181","1.02208","1.02779","1.033","1.04022","1.04638","1.05001","1.04754","1.03598","1.0402","1.03461","1.03136","1.03123","1.02838","1.02081","1.01963","","",
"Armenia","ARM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.07114","","","","","","","1.00601","0.99567","0.9899","0.99522","1.00772","","1.02907","1.04034","1.03799","","","1.02283","",
"American Samoa","ASM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
